Team,Complaint
Promotions,Promotion advertised online wasn’t valid in-store i expected better.
Delivery,Tracking information wasn’t updated for days not the first time this has happened.
Billing,The total at checkout didn’t match the advertised prices very disappointing.
Technical,Website freezes during payment—super frustrating this is unacceptable.
Billing,Still haven’t received the refund i was promised.
Promotions,The sale ended earlier than announced not the first time this has happened.
Technical,Website freezes during payment—super frustrating this is unacceptable.
Returns,Still waiting on my refund after returning an item.
Technical,Your site is not mobile-friendly at all i expected better.
Delivery,Package was delivered to the wrong address this is unacceptable.
Delivery,The delivery guy left the package outside in the rain.
Billing,The final bill didn’t reflect my coupon discount not the first time this has happened.
Billing,The final bill didn’t reflect my coupon discount very disappointing.
Delivery,Package was delivered to the wrong address not the first time this has happened.
Accounts,Reward points were not applied to my recent purchase very disappointing.
Accounts,My account was locked for no reason very disappointing.
Feedback,It feels like customer feedback is ignored here not the first time this has happened.
Delivery,Tracking information wasn’t updated for days not the first time this has happened.
Delivery,The delivery guy left the package outside in the rain.
Technical,Your site is not mobile-friendly at all i expected better.
Technical,The barcode scanner doesn’t work in the mobile app i expected better.
General,Your store used to be better organized and cleaner not the first time this has happened.
General,Why do simple requests take so long to resolve?.
Technical,Website freezes during payment—super frustrating i expected better.
Billing,I was charged twice for the same item very disappointing.
Accounts,My account was locked for no reason.
General,Customer support is getting worse over time.
Feedback,I left a suggestion last month and never heard back this is unacceptable.
Technical,Your site is not mobile-friendly at all not the first time this has happened.
Feedback,I’d appreciate a follow-up after my last complaint i expected better.
Technical,The app keeps crashing every time i try to check out i expected better.
Delivery,The delivery guy left the package outside in the rain.
General,Your store used to be better organized and cleaner i expected better.
General,Your store used to be better organized and cleaner not the first time this has happened.
Technical,Website freezes during payment—super frustrating not the first time this has happened.
Feedback,Wish there was a better way to share my experience.
Technical,Website freezes during payment—super frustrating very disappointing.
Billing,There’s an unexplained fee added to my invoice not the first time this has happened.
Technical,Website freezes during payment—super frustrating i expected better.
General,Things seem very uncoordinated lately i expected better.
Promotions,Promotion advertised online wasn’t valid in-store very disappointing.
Billing,Still haven’t received the refund i was promised i expected better.
Promotions,The discount code wouldn’t apply at checkout i expected better.
Technical,The app keeps crashing every time i try to check out very disappointing.
Returns,The return desk staff was very unhelpful this is unacceptable.
Technical,Website freezes during payment—super frustrating not the first time this has happened.
Technical,Website freezes during payment—super frustrating not the first time this has happened.
Billing,I was charged twice for the same item very disappointing.
Billing,The total at checkout didn’t match the advertised prices not the first time this has happened.
Accounts,My store credit balance is showing incorrectly not the first time this has happened.
General,The overall shopping experience has gone downhill.
Promotions,Too many conditions for your so-called deals very disappointing.
Technical,Website freezes during payment—super frustrating very disappointing.
Accounts,My store credit balance is showing incorrectly very disappointing.
Promotions,The sale ended earlier than announced this is unacceptable.
Technical,The app keeps crashing every time i try to check out very disappointing.
Returns,Still waiting on my refund after returning an item.
Promotions,The sale ended earlier than announced i expected better.
Returns,Still waiting on my refund after returning an item not the first time this has happened.
Technical,Your site is not mobile-friendly at all this is unacceptable.
Technical,The app keeps crashing every time i try to check out.
Accounts,I can’t access my loyalty account after the last update i expected better.
Accounts,I changed my email but still get messages at the old one this is unacceptable.
Billing,There’s an unexplained fee added to my invoice.
Accounts,I changed my email but still get messages at the old one.
Returns,Still waiting on my refund after returning an item i expected better.
Billing,The final bill didn’t reflect my coupon discount i expected better.
Technical,The app keeps crashing every time i try to check out i expected better.
Feedback,Wish there was a better way to share my experience very disappointing.
Feedback,There’s no option to rate my shopping experience very disappointing.
Technical,Website freezes during payment—super frustrating not the first time this has happened.
Billing,Still haven’t received the refund i was promised not the first time this has happened.
Promotions,The discount code wouldn’t apply at checkout i expected better.
Billing,The total at checkout didn’t match the advertised prices this is unacceptable.
Billing,Still haven’t received the refund i was promised very disappointing.
Technical,The app keeps crashing every time i try to check out.
Accounts,I can’t access my loyalty account after the last update.
Billing,I was charged twice for the same item very disappointing.
